enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
20190516,964.32,231,5.5,Cheque,0,0,1,0
20190517,989.52,42,5.5,CreditCard,1,0,1,0
20190519,543.7656,543.7656,6,Cash,1,0,0,0
20190519,888.72,67.2,5.5,CreditCard,0,0,0,0
20190520,786.2316,147,5.5,CreditCard,0,0,0,0
20190521,930.72,58.8,8.5,Cash,0,0,0,1
20190521,922.32,922.32,7,Cash,0,0,0,0
20190522,964.32,147,5.5,CreditCard,0,0,1,0
20190525,330.96,330.96,8,Cash,0,0,1,0
20190525,444.6456,444.6456,6,Cash,0,0,1,0
20190528,1001.2716,147,5.5,DirectDebit,3,0,1,0
20190530,928.5948,84,14,Cash,0,0,0,1
20190530,410.76,42.84,24,CreditCard,1,0,0,0
20190530,1049.2356,42.84,5.5,Cash,0,0,0,0
20190531,839.1348,105,6,CreditCard,5,0,0,0
20190531,796.656,796.656,6,Cash,6,0,1,0
20190531,271.8828,271.8828,6,Cash,4,0,0,0
20190531,964.572,586.32,8.5,DirectDebit,1,0,1,0
20190531,1952.0256,1512,5.5,Cash,6,0,0,0
20190602,755.16,84,5.5,Cash,0,0,0,0
20190605,503.16,4.2,2.75,Cash,0,0,1,1
20190605,180.9528,180.9528,10,Cash,0,0,1,0
20190605,1713.5664,1713.5664,10.5,Cash,0,0,1,0
20190609,503.16,4.2,8.5,CreditCard,0,0,0,0
20190609,1252.104,1252.104,7,Cash,0,0,0,0
20190614,271.8828,271.8828,10.5,Cash,3,0,0,0
20190614,1173.48,1173.48,6,Cash,6,0,1,0
20190619,1314.81,252,5.83,CreditCard,1,0,0,0
20190619,271.8828,271.8828,10.5,Cash,0,0,1,0
20190620,797.16,42,5.5,Cash,7,0,1,0
20190620,1089.48,1089.48,6,Cash,0,0,0,0
20190621,738.36,738.36,6,Cash,0,0,0,0
20190621,1020.9528,1020.9528,6,Cash,0,0,1,0
20190622,880.32,126,5.5,Cash,0,0,1,1
20190622,444.6456,444.6456,6,Cash,0,0,1,0
20190626,964.32,84,5.5,Cash,0,0,0,1
20190626,542.1612,4.2,5.5,Cheque,0,0,0,0
20190626,1115.52,84,10,CreditCard,0,0,1,0
20190627,209.16,209.16,10,Cash,0,0,0,0
20190629,846.72,211.68,8.5,DirectDebit,0,0,0,0
20190630,713.16,713.16,6,Cash,6,0,0,0
20190630,1383.48,168,8.5,Cash,0,0,0,0
20190630,540.0696,540.0696,12,Cash,0,0,1,0
20190630,318.36,318.36,8,Cash,5,0,1,0
20190701,1188.4572,1188.4572,8.5,Cash,0,0,1,0
20190702,1073.52,36.96,9,Cash,0,0,0,1
20190702,1607.4576,273,4,DirectDebit,0,0,0,0
20190703,797.16,42,4,DirectDebit,0,0,0,1
20190703,989.52,147,9,Cheque,1,0,0,0
20190705,1246.3248,1246.3248,6,Cash,1,0,0,0
20190708,796.32,147,3,DirectDebit,0,0,0,0
20190709,821.52,821.52,6,Cash,0,0,1,0
20190709,1485.12,1485.12,5.5,Cash,1,0,1,0
20190710,885.192,885.192,3,Cash,0,0,1,0
20190710,180.9528,180.9528,8,Cash,0,0,0,0
20190716,889.2996,147,4.36,CreditCard,0,0,1,0
20190716,356.0592,356.0592,96,Cash,0,0,1,0
20190716,408.2736,408.2736,4.33,Cash,0,0,0,0
20190719,1380.6828,1380.6828,3,Cash,1,0,0,0
20190721,209.16,209.16,12,Cash,6,0,0,0
20190722,2667.6384,2667.6384,9,Cash,0,0,0,0
20190723,980.2296,37.8,4,Cash,0,0,0,0
20190723,1251.1968,1251.1968,6,Cash,1,0,0,0
20190723,1335.9276,294,4,DirectDebit,1,0,1,0
20190725,0,0,12,Cash,0,0,1,0
20190725,180.9528,180.9528,8,Cash,0,0,0,0
20190727,889.2996,889.2996,6,Cash,0,0,1,0
20190728,1156.722,105,11,Cash,0,0,0,1
20190728,1162.0896,84,11,Cash,0,0,0,1
20190728,938.2716,469.56,7,Cash,5,0,1,0
20190728,223.2804,223.2804,12,Cash,0,0,1,0
20190730,963.48,963.48,6,Cash,1,0,0,0
20190731,1071.1596,84,11,Cash,0,0,0,1
20190731,496.7256,496.7256,13.2,Cash,8,0,1,0
20190731,804.72,36.96,4,Cash,3,0,0,0
20190731,1198.68,210,9,CreditCard,6,0,1,0
20190803,1560.72,252,9,CreditCard,1,0,1,0
20190803,1089.48,84,6,DirectDebit,0,0,1,0
20190804,178.0212,178.0212,9,Cash,1,0,0,0
20190805,754.32,754.32,3,Cash,0,0,0,0
20190806,1370.8716,1370.8716,6,Cash,0,0,0,0
20190806,989.52,42.84,5,CreditCard,0,0,0,0
20190807,439.32,439.32,11,Cash,1,0,0,0
20190807,1073.52,231,5,Cash,0,0,1,0
20190809,989.52,147,9,DirectDebit,6,0,1,0
20190811,377.16,15.96,4,Cash,0,0,0,0
20190813,1173.48,189,4,Cash,0,0,0,0
20190814,894.6168,21,4.14,Cash,0,0,1,1
20190814,780.1836,84,4,CreditCard,0,0,0,0
20190815,381.0912,381.0912,9,Cash,7,0,1,0
20190815,738.36,42,14,CreditCard,3,0,0,0
20190815,209.16,209.16,12,Cash,0,0,1,0
20190815,821.52,821.52,6,Cash,1,0,0,0
20190821,985.32,63,11,Cash,0,0,0,0
20190823,330.96,330.96,9,Cash,6,0,0,0
20190828,1024.7832,84,11,CreditCard,0,0,0,0
20190829,989.52,147,9,Cash,3,0,1,0
20190830,743.3916,105,7,Cash,0,0,0,0
20190831,1644.72,84,9,CreditCard,0,0,0,0
20190902,1198.68,84,9,Cheque,0,0,0,0
20190902,1048.32,63,5.5,Cash,1,0,0,0
20190902,762.72,42,2.75,Cheque,1,0,1,0
20190902,1239.84,1239.84,3,Cash,0,0,0,0
20190903,1114.68,105,8.5,Cheque,0,0,0,0
20190905,821.2428,821.2428,3,Cash,6,0,0,0
20190905,452.7516,4.2,4,CreditCard,0,0,0,0
20190905,369.18,369.18,8,Cash,4,0,1,0
20190908,1041.1212,147,14,CreditCard,1,0,1,0
20190910,1617,147,5.5,Cash,0,0,1,1
20190910,410.76,410.76,8,Cash,0,0,0,0
20190913,846.7116,846.7116,6,Cash,1,0,0,0
20190913,1156.68,168,8.5,Cash,0,0,0,0
20190916,947.52,84,6,DirectDebit,1,0,0,0
20190917,360.36,360.36,10,Cash,0,0,0,0
20190921,399.1848,399.1848,8,Cash,1,0,1,0
20190922,251.3952,251.3952,10,Cash,0,0,1,0
20190924,846.7116,846.7116,6,Cash,1,0,0,0
20190924,1716.96,147,11,DirectDebit,0,0,0,0
20190924,779.52,779.52,7,Cash,0,0,0,0
20190925,1173.48,126,2.75,Cash,0,0,1,1
20190926,780.36,42,21,Cash,0,0,1,0
20190927,705.8436,0.84,17,Cash,0,0,0,1
20190927,890.2068,0.84,5.96,Cash,0,0,0,1
20190927,1093.1508,1093.1508,6,Cash,5,0,1,0
20190928,1067.6232,21.84,5.69,Cash,0,0,0,0
20190928,1006.32,42,2.75,CreditCard,1,0,0,0
20190929,544.6728,0.84,4,CreditCard,1,0,1,0
20190930,880.3116,25.2,2.75,DirectDebit,0,0,0,1
20190930,503.16,0.84,4,Cash,0,0,1,1
20190930,1156.68,126,5.5,CreditCard,0,0,0,0
20190930,503.16,0.84,4,Cash,0,0,1,0
20191001,880.32,147,5.5,DirectDebit,1,0,1,0
20191006,1092.9828,84,5.5,CreditCard,4,0,1,0
20191007,1151.64,47.88,10,CreditCard,3,0,1,0
20191007,1575,294,8.5,Cash,3,0,0,0
20191008,1115.52,147,10,DirectDebit,4,0,1,0
20191008,1016.2152,231,5.5,CreditCard,0,0,1,0
20191009,616.3836,126,14,Cash,0,0,0,1
20191009,755.16,84,5.5,Cash,0,0,0,1
20191009,1006.32,42,5.5,CreditCard,0,0,1,0
20191009,671.16,671.16,6,Cash,1,0,1,0
20191015,1083.8772,1083.8772,6,Cash,0,0,0,0
20191016,866.8716,63,17,CreditCard,3,0,0,0
20191018,806.1984,403.0992,11,Cash,1,0,0,0
20191018,781.9224,781.9224,12,Cash,3,0,1,0
20191018,866.8716,63,17,Cash,1,0,0,0
20191020,839.16,33.6,5.5,Cash,0,0,1,1
20191020,360.36,360.36,11,Cash,3,0,0,0
20191021,418.74,0,0,Cash,1,0,0,0
20191024,172.5024,172.5024,96,Cash,1,0,1,0
20191028,1240.5372,126,9,DirectDebit,1,0,0,0
20191028,180.9528,180.9528,9,Cash,6,0,0,0
20191029,1025.6904,512.8452,9,DirectDebit,0,0,1,0
20191029,444.6456,444.6456,8,Cash,0,0,0,0
20191029,906.36,84,10,CreditCard,0,0,1,0
20191030,603.12,36.96,2.75,Cash,0,0,0,1
20191031,1115.52,231,10,DirectDebit,0,0,0,0
20191102,947.52,105,8.5,DirectDebit,0,0,0,0
20191103,377.16,15.96,4,DirectDebit,1,0,1,0
20191104,1115.52,1115.52,9,Cash,0,0,1,0
20191104,906.36,210,10,CreditCard,0,0,1,0
20191105,947.52,947.52,6,Cash,0,0,0,0
20191106,1071.1596,147,4,DirectDebit,0,0,0,0
20191106,1173.48,147,14,Cash,0,0,1,0
20191107,864.36,42,4,Cash,0,0,1,1
20191107,1207.5504,126,6,CreditCard,0,0,0,0
20191107,1071.1596,1071.1596,6,Cash,0,0,0,0
20191108,1025.682,105,4,CreditCard,4,0,0,0
20191109,870.8196,870.8196,6,Cash,1,0,0,0
20191110,1426.32,1426.32,6,Cash,0,0,1,0
20191110,251.3952,251.3952,10,Cash,0,0,1,0
20191110,799.2768,799.2768,4,Cash,0,0,1,0
20191110,177.6096,177.6096,8,Cash,1,0,1,0
20191110,410.76,84,4,CreditCard,0,0,1,0
20191111,1407.84,1071.84,6,Cash,0,0,0,0
20191111,1359.3216,147,4.25,CreditCard,4,0,0,0
20191111,811.566,42,4,DirectDebit,3,0,1,0
20191111,410.76,84,8.5,Cash,1,0,1,0
20191112,1137.6624,420,4.25,CreditCard,0,0,0,0
20191113,439.7568,21,4.25,Cash,0,0,1,0
20191113,377.16,15.96,4,DirectDebit,0,0,1,0
20191114,1382.64,273,4,Cash,1,0,1,0
20191118,334.5804,334.5804,9,Cash,1,0,0,0
20191118,1016.2152,84,4,CreditCard,1,0,0,0
20191119,410.76,410.76,8,Cash,0,0,0,0
20191119,226.4136,226.4136,3,Cash,0,0,0,0
20191121,843.822,105,4,CreditCard,8,0,0,0
20191123,891.072,36.96,11,Cash,1,0,1,0
20191124,564.48,126,14,Cash,0,0,0,1
20191124,1519.5516,168,4.25,CreditCard,0,0,1,0
20191124,356.0508,356.0508,8,Cash,6,0,1,0
20191124,968.52,63,4,DirectDebit,6,0,1,0
20191126,2891.532,2891.532,6,Cash,0,0,1,0
20191127,1004.3712,147,6,CreditCard,0,0,1,0
20191206,1433.964,252,4,Cash,0,0,1,1
20191206,209.16,209.16,15,Cash,0,0,0,0
20191208,410.76,21,4,CreditCard,6,0,0,0
20191208,1387.596,1387.596,6,Cash,0,0,1,0
20191210,341.4432,341.4432,12.1,Cash,0,0,1,0
20191216,679.56,29.4,4,Cash,6,0,1,0
20191217,754.32,31.92,4,Cash,0,0,1,0
20191219,388.3656,84,21,Cheque,3,0,0,0
20191219,863.52,105,9,DirectDebit,6,0,1,0
20191220,1533.84,1533.84,9,Cash,6,0,1,0
20191220,964.32,84,12,CreditCard,0,0,0,0
20191220,755.16,4.2,4,Cash,3,0,1,0
20191220,794.4048,63,7,DirectDebit,5,0,0,0
20191220,947.52,84,12,DirectDebit,0,0,0,0
20191220,419.5716,22.68,29,Cash,7,0,1,0
20191221,334.5804,42,9,DirectDebit,1,0,0,0
20191221,1173.48,168,9,DirectDebit,1,0,1,0
20191221,209.16,209.16,11,Cash,3,0,1,0
20191222,964.32,84,12,DirectDebit,0,0,0,0
20191222,1308.9216,84,4,CreditCard,6,0,0,0
20191223,410.76,126,4,Cash,0,0,0,1
20191223,167.16,167.16,11,Cash,1,0,0,0
20191226,167.16,167.16,11,Cash,7,0,1,0
20191227,1115.52,1115.52,10,Cash,4,0,0,0
20191227,1156.68,168,9,DirectDebit,0,0,1,0
20191229,167.16,167.16,108,Cash,1,0,0,0
20191229,377.16,377.16,4,Cash,1,0,0,0
20191230,1115.52,126,10,CreditCard,0,0,0,0
20191230,1652.196,168,11,Cash,1,0,1,0
20191231,964.32,147,4,Cash,0,0,1,1
20191231,1255.17,1255.17,0,Cash,0,0,1,0
20191231,225.372,225.372,9,Cash,1,0,0,0
20200101,1025.6904,1025.6904,6,Cash,0,0,1,0
20200101,1025.6904,105,9,CreditCard,0,0,1,0
20200101,1252.104,105,12,CreditCard,6,0,1,0
20200102,1333.9452,1333.9452,6,Cash,0,0,1,0
20200103,167.16,167.16,108,Cash,1,0,1,0
20200103,1037.9544,126,6,DirectDebit,0,0,1,0
20200104,225.372,225.372,13.2,Cash,0,0,0,0
20200104,1156.68,126,8.5,CreditCard,0,0,0,0
20200104,1156.68,126,8.5,CreditCard,0,0,0,0
20200104,1207.5504,168,5.5,Cheque,0,0,1,0
20200105,1132.32,126,10,CreditCard,0,0,0,0
20200105,1020.9528,105,9,CreditCard,0,0,0,0
20200105,226.4136,226.4136,12,Cash,0,0,0,0
20200106,880.32,880.32,6,Cash,0,0,0,0
20200106,1025.6904,1025.6904,6,Cash,7,0,1,0
20200106,419.16,419.16,6,Cash,3,0,1,0
20200106,1025.6904,1025.6904,6,Cash,0,0,1,0
20200106,947.52,84,8.5,Cash,4,0,0,0
20200107,1185.24,84,11,DirectDebit,5,0,0,0
20200107,1433.964,105,11,Cheque,0,0,0,0
20200110,1343.034,168,4,CreditCard,6,0,1,0
20200110,791.112,25.2,22,Cheque,0,0,0,0
20200110,791.112,25.2,5.5,CreditCard,1,0,1,0
20200110,776.16,63,5.5,Cash,0,0,1,0
20200112,813.1116,25.2,4,DirectDebit,1,0,0,0
20200112,1025.6904,84,17,Cash,0,0,1,0
20200112,1132.32,84,10,Cash,0,0,1,0
20200112,1496.712,273,5.5,CreditCard,5,0,0,0
20200112,1344.5544,84,5.5,DirectDebit,0,0,1,0
20200112,721.56,0,5.5,CreditCard,0,0,0,0
20200113,1449.84,147,10,DirectDebit,0,0,1,0
20200113,1115.52,231,5.5,CreditCard,0,0,1,0
20200113,277.2,277.2,6,Cash,0,0,1,0
20200114,222.7596,222.7596,12,Cash,5,0,0,0
20200114,672.6972,42,21,Cash,0,0,0,0
20200115,167.16,167.16,108,Cash,6,0,1,0
20200115,1399.44,252,10.5,DirectDebit,1,0,1,0
20200115,1519.5516,84,5.83,DirectDebit,0,0,0,0
20200115,1433.964,1433.964,6,Cash,0,0,1,0
20200116,167.16,167.16,108,Cash,0,0,0,0
20200116,1298.64,1298.64,6,Cash,0,0,1,0
20200118,226.4136,226.4136,13.2,Cash,6,0,0,0
20200119,209.16,209.16,6,Cash,7,0,1,0
20200119,1905.456,1905.456,9,Cash,6,0,0,0
20200119,222.2304,222.2304,6,Cash,1,0,0,0
20200121,2113.2132,336,5.5,DirectDebit,1,0,0,0
20200123,1089.4716,168,5.5,CreditCard,8,0,1,0
20200124,1387.0164,168,5.5,DirectDebit,6,0,0,0
20200125,930.72,21,5.5,Cheque,0,0,0,0
20200126,1341.48,1341.48,10,Cash,3,0,1,0
20200127,670.488,670.488,6,Cash,3,0,1,0
20200128,1207.5504,168,6,DirectDebit,4,0,0,0
20200128,1128.96,84,14,Cash,0,0,1,0
20200129,167.16,167.16,120,Cash,0,0,0,0
20200130,167.16,167.16,8,Cash,0,0,1,0
20200130,394.38,16.8,5.5,Cheque,0,0,1,0
20200131,209.16,209.16,8,Cash,1,0,1,0
20200131,1132.32,84,10,Cash,0,0,1,0
20200202,1386.9156,25.2,5.83,CreditCard,1,0,1,0
20200204,1896.1908,88.2,6,Cheque,0,0,0,0
20200204,222.7596,222.7596,13.2,Cash,0,0,0,0
20200205,1115.52,84,10,Cash,1,0,0,0
20200205,1048.32,1048.32,9,Cash,0,0,0,0
20200205,226.4136,226.4136,12,Cash,1,0,0,0
20200206,1088.808,1088.808,9,Cash,0,0,1,0
20200206,964.32,84,12,CreditCard,1,0,1,0
20200207,590.1336,4.2,6.5,DirectDebit,3,0,1,0
20200207,361.9056,361.9056,9,Cash,0,0,0,0
20200208,584.682,4.2,6,DirectDebit,0,0,0,0
20200208,879.48,879.48,9,Cash,0,0,0,0
20200209,7871.85,7871.85,0,Cash,0,0,1,0
20200209,1146.852,1146.852,6,Cash,1,0,0,0
20200209,1146.852,1146.852,6,Cash,6,0,1,0
20200209,1652.7168,147,6,CreditCard,1,0,0,0
20200210,7871.85,7871.85,0,Cash,0,0,1,0
20200210,531.0228,4.2,24,DirectDebit,0,0,0,0
20200210,503.16,4.2,5.5,Cheque,6,0,0,0
20200211,496.902,496.902,0,Cash,0,0,1,0
20200211,445.5108,445.5108,12,Cash,0,0,1,0
20200212,1048.32,84,15,CreditCard,5,0,1,0
20200215,419.16,210,12,DirectDebit,5,0,1,0
20200217,238.392,42,21,CreditCard,0,0,0,0
20200218,273,273,0,Cash,3,0,0,0
20200219,419.16,210,8.5,DirectDebit,0,0,1,0
20200221,1034.8716,147,10.25,Cash,0,0,0,0
20200223,839.16,126,9,CreditCard,0,0,0,0
20200224,2014.32,8.4,6,Cash,0,0,1,1
20200224,1225.7364,84,9,CreditCard,0,0,0,0
20200224,1103.3316,84,14,Cheque,1,0,1,0
20200224,1157.52,147,10.25,CreditCard,0,0,0,0
20200224,1260,1260,0,Cash,0,0,0,0
20200225,1466.64,168,10,CreditCard,0,0,0,0
20200226,1134.8064,84,11,Cash,6,0,0,0
20200227,3270.75,12.6,6.5,Cash,0,0,1,1
20200227,1225.7364,1225.7364,9,Cash,0,0,1,0
20200227,1366.68,277.2,10.25,Cheque,0,0,0,0
20200228,1366.68,105,15.25,Cash,0,0,1,1
20200228,209.16,209.16,12,Cash,0,0,0,0
20200228,1424.64,84,15,CreditCard,1,0,1,0
20200228,1591.8,1591.8,9,Cash,1,0,1,0
20200228,1157.52,168,10.25,CreditCard,1,0,0,0
20200228,1550.4132,105,9,CreditCard,0,0,0,0
20200228,1132.32,84,9,CreditCard,4,0,0,0
20200301,1675.8,100.8,3,CreditCard,2,0,1,0
20200302,1452.15,105,9,DirectDebit,1,0,0,0
20200302,1157.52,84,10.25,Cash,0,0,0,0
20200303,499.2036,249.606,6.5,CreditCard,0,0,1,0
20200303,1043.8764,84,15,CreditCard,5,0,1,0
20200304,1043.8764,84,25,DirectDebit,0,0,0,1
20200304,1257.48,147,3,Cash,0,0,0,0
20200304,1508.64,189,4,CreditCard,0,0,0,0
20200304,1341.48,252,6,DirectDebit,0,0,1,0
20200305,209.16,209.16,12,Cash,0,0,1,0
20200305,1132.32,84,6,DirectDebit,0,0,0,0
20200305,1264.4268,168,22,Cash,0,0,0,0
20200306,267.0612,267.0612,0,Cash,0,0,0,0
20200306,579.2304,21,6,CreditCard,1,0,1,0
20200306,1537.3596,84,14,Cheque,0,0,0,0
20200306,1048.32,42,3,CreditCard,0,0,0,0
20200306,587.16,42,6,DirectDebit,6,0,1,0
20200307,901.32,63,4.25,Cash,0,0,0,0
20200307,1315.7088,84,9,CreditCard,0,0,1,0
20200308,1048.32,63,3,Cheque,1,0,0,0
20200308,209.16,209.16,13.2,Cash,3,0,1,0
20200308,377.16,377.16,10,Cash,0,0,0,0
20200308,209.16,209.16,10,Cash,4,0,0,0
